,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres
33,55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,2014,X-Men: Days of Future Past,Fox,513900000.0,2014,"[28, 12, 14, 878]",41.867,tt1877832,132.0,"Action,Adventure,Sci-Fi"
34,56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,2014,The Amazing Spider-Man 2,Sony,506100000.0,2014,"[28, 12, 14]",20.847,tt1872181,142.0,"Action,Adventure,Sci-Fi"
35,57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2011,Cars 2,BV,370700000.0,2011,"[16, 10751, 12, 35]",23.498,tt1216475,106.0,"Adventure,Animation,Comedy"
36,60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,Fantastic Beasts: The Crimes of Grindelwald,WB,494100000.0,2018,[12],48.508,tt4123430,134.0,"Adventure,Family,Fantasy"
37,62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,2011,Green Lantern,WB,103300000.0,2011,"[12, 28, 53, 878]",17.257,tt1133985,114.0,"Action,Adventure,Sci-Fi"
38,64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,2011,Transformers: Dark of the Moon,P/DW,771400000.0,2011,"[28, 878, 12]",5.339,tt1399103,154.0,"Action,Adventure,Sci-Fi"
39,66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2013,Jack the Giant Slayer,WB (NL),132500000.0,2013,"[28, 12, 10751, 14]",12.773,tt1351685,114.0,"Adventure,Fantasy"
40,67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,Furious 7,Uni.,,2015,"[28, 80, 53]",20.396,tt2820852,137.0,"Action,Crime,Thriller"
41,68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2013,Star Trek Into Darkness,Par.,238600000.0,2013,"[28, 12, 878]",20.487,tt1408101,132.0,"Action,Adventure,Sci-Fi"
42,69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,2013,World War Z,Par.,337600000.0,2013,"[28, 18, 27, 878, 53]",14.582,tt0816711,116.0,"Action,Adventure,Horror"
43,72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,2013,Pacific Rim,WB,309200000.0,2013,"[28, 878, 12]",16.759,tt1663662,131.0,"Action,Adventure,Sci-Fi"
44,73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,The Good Dinosaur,BV,209100000.0,2015,"[12, 16, 10751]",17.675,tt1979388,93.0,"Adventure,Animation,Comedy"
