id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres,profit,profit_rate
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,2013,BV,475700000.0,2013,"[16, 10751]",20.33,tt1453405,104.0,"Adventure,Animation,Comedy",543588329.0,271.79416449999997
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,2014,Fox,513900000.0,2014,"[28, 12, 14, 878]",41.867,tt1877832,132.0,"Action,Adventure,Sci-Fi",547862775.0,273.9313875
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,2014,Sony,506100000.0,2014,"[28, 12, 14]",20.847,tt1872181,142.0,"Action,Adventure,Sci-Fi",508996336.0,254.498168
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2011,BV,370700000.0,2011,"[16, 10751, 12, 35]",23.498,tt1216475,106.0,"Adventure,Animation,Comedy",360155383.0,180.0776915
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,WB,494100000.0,2018,[12],48.508,tt4123430,134.0,"Adventure,Family,Fantasy",452220086.0,226.110043
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,2011,WB,103300000.0,2011,"[12, 28, 53, 878]",17.257,tt1133985,114.0,"Action,Adventure,Sci-Fi",19535492.0,9.767745999999999
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,2011,P/DW,771400000.0,2011,"[28, 878, 12]",5.339,tt1399103,154.0,"Action,Adventure,Sci-Fi",928790543.0,476.3028425641026
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2013,WB (NL),132500000.0,2013,"[28, 12, 10751, 14]",12.773,tt1351685,114.0,"Adventure,Fantasy",2687603.0,1.3782579487179487
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,Uni.,,2015,"[28, 80, 53]",20.396,tt2820852,137.0,"Action,Crime,Thriller",1328722794.0,699.3277863157895
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2013,Par.,238600000.0,2013,"[28, 12, 878]",20.487,tt1408101,132.0,"Action,Adventure,Sci-Fi",277381584.0,145.99030736842104
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,2013,Par.,337600000.0,2013,"[28, 18, 27, 878, 53]",14.582,tt0816711,116.0,"Action,Adventure,Horror",341514650.0,179.74455263157896
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,2013,WB,309200000.0,2013,"[28, 878, 12]",16.759,tt1663662,131.0,"Action,Adventure,Sci-Fi",221002906.0,116.31731894736843
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,BV,209100000.0,2015,"[12, 16, 10751]",17.675,tt1979388,93.0,"Adventure,Animation,Comedy",146271037.0,78.01121973333333
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2012,BV,303200000.0,2012,[28],0.6,tt1217209,93.0,"Adventure,Animation,Comedy",369606532.0,199.7873145945946
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,2017,WB,398600000.0,2017,"[28, 12, 14]",29.388,tt3731562,118.0,"Action,Adventure,Fantasy",376072059.0,203.28219405405403
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,Par.,184600000.0,2016,"[28, 12, 878]",19.142,tt2660888,122.0,"Action,Adventure,Sci-Fi",150802233.0,81.51472054054054
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,WB,167200000.0,2017,"[878, 28, 53]",48.57100000000001,tt1856101,164.0,"Drama,Mystery,Sci-Fi",74357408.0,40.19319351351351
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,BV,538900000.0,2017,"[28, 12, 35, 14]",43.45,tt3501632,130.0,"Action,Adventure,Comedy",666980024.0,370.5444577777778
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,BV,517100000.0,2014,"[14, 12, 28, 10751, 10749]",19.274,tt1587310,97.0,"Action,Adventure,Family",578536735.0,321.4092972222222
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,WB,230100000.0,2016,"[28, 12]",14.797,tt0918940,110.0,"Action,Adventure,Drama",168902025.0,93.83445833333333
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,Par.,111900000.0,2011,"[12, 18, 10751]",12.936,tt0970179,126.0,"Adventure,Drama,Family",47784.0,0.026546666666666666
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,Par.,111900000.0,2011,"[12, 18, 10751]",12.936,tt7496196,80.0,Documentary,47784.0,0.026546666666666666
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,STX,184700000.0,2017,"[12, 878, 28]",24.003,tt2239822,137.0,"Action,Adventure,Fantasy",35098356.0,19.499086666666667
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,WB,136600000.0,2015,"[878, 14, 28, 12]",24.058000000000003,tt1617661,127.0,"Action,Adventure,Sci-Fi",2982519.0,1.6662117318435754
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,2016,Fox,388500000.0,2016,"[28, 12, 878, 14]",39.293,tt3385516,144.0,"Action,Adventure,Sci-Fi",364537546.0,204.79637415730338
94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,2018,WB,384800000.0,2018,"[28, 878, 53, 27]",31.397,tt4779682,113.0,"Action,Horror,Sci-Fi",351530715.0,197.48916573033708
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2014,WB,270300000.0,2014,"[28, 878]",19.753,tt1631867,113.0,"Action,Sci-Fi",192541256.0,108.16924494382023
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,BV,501100000.0,2015,"[18, 80]",4.758,tt1640486,93.0,"Crime,Drama",679235992.0,388.1348525714286
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,BV,501100000.0,2015,"[18, 80]",4.758,tt1865538,74.0,Documentary,679235992.0,388.1348525714286
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,BV,501100000.0,2015,"[18, 80]",4.758,tt2071483,59.0,Family,679235992.0,388.1348525714286
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,BV,501100000.0,2015,"[18, 80]",4.758,tt2096673,95.0,"Adventure,Animation,Comedy",679235992.0,388.1348525714286
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,BV,501100000.0,2015,"[18, 80]",4.758,tt2608638,75.0,"Biography,Documentary,History",679235992.0,388.1348525714286
99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,2017,Sony,546000000.0,2017,"[28, 12, 878, 18]",46.775,tt2250912,133.0,"Action,Adventure,Sci-Fi",705166350.0,402.9522
100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,2016,WB,421700000.0,2016,"[28, 12, 80, 14, 878]",16.53,tt1386697,123.0,"Action,Adventure,Fantasy",571059887.0,326.31993542857145
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,BV,597400000.0,2017,"[16, 10751, 35, 12, 14]",25.961,tt2380307,105.0,"Adventure,Animation,Comedy",623008101.0,356.00462914285714
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,BV,597400000.0,2017,"[16, 10751, 35, 12, 14]",25.961,tt7002100,98.0,Horror,623008101.0,356.00462914285714
5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,BV,231000000.0,2017,"[12, 16, 35, 10751]",18.427,tt3606752,102.0,"Adventure,Animation,Comedy",208541369.0,119.16649657142857
11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,2017,WB,109500000.0,2017,"[28, 18, 14]",21.793000000000006,tt1972591,126.0,"Action,Adventure,Drama",-35369664.0,-20.21123657142857
12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,2013,Uni.,113400000.0,2013,"[18, 28, 12, 14]",25.049,tt1335975,128.0,"Action,Adventure,Drama",-23283185.0,-13.304677142857143
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,2018,Uni.,891800000.0,2018,"[28, 12, 878]",34.958,tt4881806,128.0,"Action,Adventure,Sci-Fi",1135772799.0,668.1016464705882
14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,BV,440200000.0,2014,"[28, 878, 12]",49.606,tt2015381,121.0,"Action,Adventure,Comedy",600867516.0,353.45148
16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,2014,BV,454500000.0,2014,"[28, 12, 878]",18.073,tt1843866,136.0,"Action,Adventure,Sci-Fi",544401889.0,320.2364052941177
17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,Fox,502100000.0,2014,"[878, 28, 18, 53]",27.641,tt2103281,130.0,"Action,Adventure,Drama",540644566.0,318.02621529411766
19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,2012,Uni.,241300000.0,2012,"[12, 14, 18]",21.233,tt1735898,127.0,"Action,Adventure,Drama",231021746.0,135.89514470588236
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,BV,115700000.0,2015,"[12, 10751, 9648, 878]",20.136,tt1964418,130.0,"Action,Adventure,Family",36627518.0,21.54559882352941
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,BV,115700000.0,2015,"[12, 10751, 9648, 878]",20.136,tt7728220,70.0,Documentary,36627518.0,21.54559882352941
26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,BV,222400000.0,2016,"[12, 10751, 14]",16.642,tt2567026,113.0,"Adventure,Family,Fantasy",106928112.0,62.8988894117647
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,BV,445100000.0,2016,"[28, 12, 14, 878]",33.035,tt1211837,115.0,"Action,Adventure,Fantasy",511404566.0,309.94216121212116
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,BV,435300000.0,2014,"[12, 10751, 16, 28, 35]",36.92,tt2245084,102.0,"Action,Adventure,Animation",487127828.0,295.2289866666667
31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,2012,BV,281800000.0,2012,"[10751, 16, 35, 12]",22.967,tt1772341,101.0,"Adventure,Animation,Comedy",331511521.0,200.91607333333332
32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,2014,Par.,489400000.0,2014,"[12, 18, 878]",28.44,tt0816692,169.0,"Adventure,Drama,Sci-Fi",501379375.0,303.8662878787879
33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,2016,Fox,286500000.0,2016,"[28, 12, 878]",15.732,tt1628841,120.0,"Action,Adventure,Sci-Fi",219169424.0,132.82995393939393
36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,2018,WB,812700000.0,2018,"[28, 12, 14]",38.102,tt1477834,143.0,"Action,Adventure,Fantasy",986894640.0,616.80915
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,LGF,371700000.0,2015,"[28, 12, 878]",19.487,tt1951266,137.0,"Action,Adventure,Sci-Fi",488986787.0,305.616741875
42,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,2011,Fox,207200000.0,2011,"[28, 878, 12]",1.4469999999999998,tt1270798,131.0,"Action,Adventure,Sci-Fi",195408305.0,122.13019062499998
46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,Uni.,386300000.0,2016,"[28, 12, 14]",21.464,tt0803096,123.0,"Action,Adventure,Fantasy",265522281.0,165.951425625
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,LG/S,60400000.0,2016,"[18, 28]",13.685,tt1860357,107.0,"Action,Drama,History",-33396176.0,-21.40780512820513
52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,Fox,343800000.0,2017,"[18, 878, 10752]",23.445,tt3450958,140.0,"Action,Adventure,Drama",337592267.0,222.10017565789474
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,WB,409300000.0,2017,"[28, 14]",2.841,tt0451279,141.0,"Action,Adventure,Fantasy",671133378.0,447.42225199999996
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,WB,409300000.0,2017,"[28, 14]",2.841,tt4028068,60.0,Sci-Fi,671133378.0,447.42225199999996
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,WB,409300000.0,2017,"[28, 14]",2.841,tt4283448,75.0,"Documentary,Drama,Sport",671133378.0,447.42225199999996
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,BV,875700000.0,2013,[53],9.678,tt1323045,93.0,"Adventure,Drama,Sport",1122469910.0,748.3132733333333
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,BV,875700000.0,2013,[53],9.678,tt1611845,92.0,"Fantasy,Romance",1122469910.0,748.3132733333333
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,BV,875700000.0,2013,[53],9.678,tt2294629,102.0,"Adventure,Animation,Comedy",1122469910.0,748.3132733333333
57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,2016,BV,682500000.0,2016,"[16, 12, 10751, 35]",27.549,tt2948356,108.0,"Adventure,Animation,Comedy",869429616.0,579.6197440000001
62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,BV,394600000.0,2016,[99],1.96,tt3521164,107.0,"Adventure,Animation,Comedy",487517365.0,325.01157666666666
66,2013-11-08,Thor: The Dark World,150000000.0,206362140.0,644602516.0,2013,BV,438200000.0,2013,"[28, 12, 14]",31.014,tt1981115,112.0,"Action,Adventure,Fantasy",494602516.0,329.7350106666667
69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,2017,WB,337200000.0,2017,"[10752, 28, 18]",24.358,tt5013056,106.0,"Action,Drama,History",349837368.0,233.22491200000002
70,2011-05-06,Thor,150000000.0,181030624.0,449326618.0,2011,Par.,268300000.0,2011,"[12, 14, 28]",38.06800000000001,tt0800369,115.0,"Action,Adventure,Fantasy",299326618.0,199.55107866666665
74,2011-05-26,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,2011,P/DW,500400000.0,2011,"[16, 10751]",17.363,tt1302011,90.0,"Action,Adventure,Animation",514837547.0,343.22503133333333
